训练日志
本次训练参数：
	paras:200
	学习率lr:0.001
	max_steps:80
	经验回放类大小:20000
	一次采样数：1024
第19局, 当前小蛇平均长度为:4.12, 小蛇平均存活步数为:17.39, 探索率为:0.14
第19局, 当前小蛇平均长度为:3.99, 小蛇平均存活步数为:12.66, 探索率为:0.14
第19局, 当前小蛇平均长度为:4.10, 小蛇平均存活步数为:14.83, 探索率为:0.14
第19局, 当前小蛇平均长度为:3.91, 小蛇平均存活步数为:16.33, 探索率为:0.14
第20局, 当前小蛇平均长度为:4.12, 小蛇平均存活步数为:15.55, 探索率为:0.13
第20局, 当前小蛇平均长度为:4.08, 小蛇平均存活步数为:15.95, 探索率为:0.13
第20局, 当前小蛇平均长度为:4.14, 小蛇平均存活步数为:14.06, 探索率为:0.13
第20局, 当前小蛇平均长度为:4.16, 小蛇平均存活步数为:17.89, 探索率为:0.13
第21局, 当前小蛇平均长度为:4.17, 小蛇平均存活步数为:16.18, 探索率为:0.13
第21局, 当前小蛇平均长度为:4.00, 小蛇平均存活步数为:18.62, 探索率为:0.13
第21局, 当前小蛇平均长度为:3.97, 小蛇平均存活步数为:15.34, 探索率为:0.13
第21局, 当前小蛇平均长度为:3.97, 小蛇平均存活步数为:15.42, 探索率为:0.13
第22局, 当前小蛇平均长度为:3.88, 小蛇平均存活步数为:16.44, 探索率为:0.12
第22局, 当前小蛇平均长度为:4.03, 小蛇平均存活步数为:17.50, 探索率为:0.12
第22局, 当前小蛇平均长度为:4.03, 小蛇平均存活步数为:15.73, 探索率为:0.12
第22局, 当前小蛇平均长度为:4.04, 小蛇平均存活步数为:15.72, 探索率为:0.12
第23局, 当前小蛇平均长度为:3.98, 小蛇平均存活步数为:16.80, 探索率为:0.12
第23局, 当前小蛇平均长度为:4.04, 小蛇平均存活步数为:15.55, 探索率为:0.12
第23局, 当前小蛇平均长度为:3.91, 小蛇平均存活步数为:15.19, 探索率为:0.12
第23局, 当前小蛇平均长度为:4.18, 小蛇平均存活步数为:17.11, 探索率为:0.12
第24局, 当前小蛇平均长度为:4.05, 小蛇平均存活步数为:15.50, 探索率为:0.11
第24局, 当前小蛇平均长度为:4.21, 小蛇平均存活步数为:17.64, 探索率为:0.11

训练日志
本次训练参数：
	paras:200
	学习率lr:0.001
	max_steps:40
	经验回放类大小:50000
	一次采样数：1024
第1局, 当前小蛇平均长度为:3.54, 小蛇平均存活步数为:12.04, 探索率为:0.30
第2局, 当前小蛇平均长度为:3.62, 小蛇平均存活步数为:11.62, 探索率为:0.29
第3局, 当前小蛇平均长度为:3.60, 小蛇平均存活步数为:11.29, 探索率为:0.29
第4局, 当前小蛇平均长度为:3.59, 小蛇平均存活步数为:12.35, 探索率为:0.29
第5局, 当前小蛇平均长度为:3.58, 小蛇平均存活步数为:12.46, 探索率为:0.29
第6局, 当前小蛇平均长度为:3.67, 小蛇平均存活步数为:13.24, 探索率为:0.28
第7局, 当前小蛇平均长度为:3.67, 小蛇平均存活步数为:14.89, 探索率为:0.28
第8局, 当前小蛇平均长度为:3.87, 小蛇平均存活步数为:14.53, 探索率为:0.28
第9局, 当前小蛇平均长度为:3.82, 小蛇平均存活步数为:14.74, 探索率为:0.27
第10局, 当前小蛇平均长度为:3.67, 小蛇平均存活步数为:15.23, 探索率为:0.27
第11局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:13.37, 探索率为:0.27
第12局, 当前小蛇平均长度为:3.69, 小蛇平均存活步数为:14.10, 探索率为:0.27
第13局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:13.62, 探索率为:0.26
第14局, 当前小蛇平均长度为:3.73, 小蛇平均存活步数为:13.93, 探索率为:0.26
第15局, 当前小蛇平均长度为:3.76, 小蛇平均存活步数为:14.76, 探索率为:0.26
第16局, 当前小蛇平均长度为:3.80, 小蛇平均存活步数为:14.33, 探索率为:0.26
第17局, 当前小蛇平均长度为:3.88, 小蛇平均存活步数为:17.23, 探索率为:0.25
第18局, 当前小蛇平均长度为:3.81, 小蛇平均存活步数为:14.80, 探索率为:0.25
第19局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:15.29, 探索率为:0.25
第20局, 当前小蛇平均长度为:3.80, 小蛇平均存活步数为:14.52, 探索率为:0.25
第21局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:16.80, 探索率为:0.24
第22局, 当前小蛇平均长度为:3.76, 小蛇平均存活步数为:15.47, 探索率为:0.24
第23局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:17.49, 探索率为:0.24
第24局, 当前小蛇平均长度为:3.81, 小蛇平均存活步数为:15.96, 探索率为:0.24
第25局, 当前小蛇平均长度为:3.85, 小蛇平均存活步数为:17.32, 探索率为:0.23
第26局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:16.41, 探索率为:0.23
第27局, 当前小蛇平均长度为:3.69, 小蛇平均存活步数为:16.25, 探索率为:0.23
第28局, 当前小蛇平均长度为:3.91, 小蛇平均存活步数为:16.02, 探索率为:0.23
第29局, 当前小蛇平均长度为:3.69, 小蛇平均存活步数为:14.77, 探索率为:0.22
第30局, 当前小蛇平均长度为:3.74, 小蛇平均存活步数为:14.93, 探索率为:0.22
第31局, 当前小蛇平均长度为:3.81, 小蛇平均存活步数为:16.08, 探索率为:0.22
第32局, 当前小蛇平均长度为:3.83, 小蛇平均存活步数为:16.39, 探索率为:0.22
第33局, 当前小蛇平均长度为:3.81, 小蛇平均存活步数为:16.93, 探索率为:0.22
第34局, 当前小蛇平均长度为:3.81, 小蛇平均存活步数为:16.45, 探索率为:0.21

训练日志
本次训练参数：
	paras:200
	学习率lr:0.001
	max_steps:40
	经验回放类大小:50000
	一次采样数：1024
第1局, 当前小蛇平均长度为:3.46, 小蛇平均存活步数为:11.27, 探索率为:0.30
第2局, 当前小蛇平均长度为:3.59, 小蛇平均存活步数为:10.84, 探索率为:0.29
第3局, 当前小蛇平均长度为:3.71, 小蛇平均存活步数为:11.95, 探索率为:0.29
第4局, 当前小蛇平均长度为:3.69, 小蛇平均存活步数为:11.59, 探索率为:0.29
第5局, 当前小蛇平均长度为:3.71, 小蛇平均存活步数为:12.55, 探索率为:0.29
第6局, 当前小蛇平均长度为:3.67, 小蛇平均存活步数为:14.18, 探索率为:0.28
第7局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:15.94, 探索率为:0.28
第8局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:13.59, 探索率为:0.28
第9局, 当前小蛇平均长度为:3.71, 小蛇平均存活步数为:13.45, 探索率为:0.27
第10局, 当前小蛇平均长度为:3.80, 小蛇平均存活步数为:16.07, 探索率为:0.27
第11局, 当前小蛇平均长度为:3.81, 小蛇平均存活步数为:15.40, 探索率为:0.27
第12局, 当前小蛇平均长度为:3.75, 小蛇平均存活步数为:14.88, 探索率为:0.27
第13局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:13.78, 探索率为:0.26
第14局, 当前小蛇平均长度为:3.96, 小蛇平均存活步数为:16.22, 探索率为:0.26
第15局, 当前小蛇平均长度为:3.83, 小蛇平均存活步数为:14.24, 探索率为:0.26
第16局, 当前小蛇平均长度为:3.73, 小蛇平均存活步数为:14.70, 探索率为:0.26
第17局, 当前小蛇平均长度为:3.72, 小蛇平均存活步数为:15.35, 探索率为:0.25
第18局, 当前小蛇平均长度为:3.90, 小蛇平均存活步数为:16.16, 探索率为:0.25
第19局, 当前小蛇平均长度为:3.82, 小蛇平均存活步数为:16.59, 探索率为:0.25
第20局, 当前小蛇平均长度为:3.82, 小蛇平均存活步数为:15.69, 探索率为:0.25
第21局, 当前小蛇平均长度为:3.95, 小蛇平均存活步数为:15.22, 探索率为:0.24
第22局, 当前小蛇平均长度为:3.74, 小蛇平均存活步数为:14.90, 探索率为:0.24
第23局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:17.45, 探索率为:0.24
第24局, 当前小蛇平均长度为:3.85, 小蛇平均存活步数为:13.65, 探索率为:0.24
第25局, 当前小蛇平均长度为:3.82, 小蛇平均存活步数为:14.79, 探索率为:0.23
第26局, 当前小蛇平均长度为:3.98, 小蛇平均存活步数为:16.68, 探索率为:0.23
第27局, 当前小蛇平均长度为:3.95, 小蛇平均存活步数为:14.37, 探索率为:0.23
第28局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:13.88, 探索率为:0.23
第29局, 当前小蛇平均长度为:3.98, 小蛇平均存活步数为:15.43, 探索率为:0.22
第30局, 当前小蛇平均长度为:4.00, 小蛇平均存活步数为:15.71, 探索率为:0.22
第31局, 当前小蛇平均长度为:3.97, 小蛇平均存活步数为:14.78, 探索率为:0.22
第32局, 当前小蛇平均长度为:3.75, 小蛇平均存活步数为:17.68, 探索率为:0.22
第33局, 当前小蛇平均长度为:3.95, 小蛇平均存活步数为:15.81, 探索率为:0.22
第34局, 当前小蛇平均长度为:3.87, 小蛇平均存活步数为:15.64, 探索率为:0.21
第35局, 当前小蛇平均长度为:3.91, 小蛇平均存活步数为:16.09, 探索率为:0.21
第36局, 当前小蛇平均长度为:4.00, 小蛇平均存活步数为:14.48, 探索率为:0.21
第37局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:13.49, 探索率为:0.21
第38局, 当前小蛇平均长度为:4.08, 小蛇平均存活步数为:16.70, 探索率为:0.20
第39局, 当前小蛇平均长度为:4.06, 小蛇平均存活步数为:16.25, 探索率为:0.20
第40局, 当前小蛇平均长度为:3.96, 小蛇平均存活步数为:15.86, 探索率为:0.20
第41局, 当前小蛇平均长度为:3.99, 小蛇平均存活步数为:14.45, 探索率为:0.20
第42局, 当前小蛇平均长度为:4.01, 小蛇平均存活步数为:14.21, 探索率为:0.20
第43局, 当前小蛇平均长度为:4.17, 小蛇平均存活步数为:17.39, 探索率为:0.19
第44局, 当前小蛇平均长度为:4.11, 小蛇平均存活步数为:14.10, 探索率为:0.19
第45局, 当前小蛇平均长度为:4.08, 小蛇平均存活步数为:14.86, 探索率为:0.19
第46局, 当前小蛇平均长度为:3.84, 小蛇平均存活步数为:14.39, 探索率为:0.19
第47局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:16.28, 探索率为:0.19
第48局, 当前小蛇平均长度为:4.08, 小蛇平均存活步数为:14.46, 探索率为:0.19
第49局, 当前小蛇平均长度为:4.10, 小蛇平均存活步数为:14.21, 探索率为:0.18
第50局, 当前小蛇平均长度为:4.01, 小蛇平均存活步数为:14.68, 探索率为:0.18
第51局, 当前小蛇平均长度为:4.01, 小蛇平均存活步数为:13.79, 探索率为:0.18
第52局, 当前小蛇平均长度为:4.00, 小蛇平均存活步数为:14.46, 探索率为:0.18
第53局, 当前小蛇平均长度为:3.89, 小蛇平均存活步数为:14.79, 探索率为:0.18
第54局, 当前小蛇平均长度为:4.02, 小蛇平均存活步数为:16.42, 探索率为:0.17
第55局, 当前小蛇平均长度为:4.11, 小蛇平均存活步数为:16.23, 探索率为:0.17
第56局, 当前小蛇平均长度为:4.04, 小蛇平均存活步数为:15.36, 探索率为:0.17
第57局, 当前小蛇平均长度为:4.00, 小蛇平均存活步数为:16.30, 探索率为:0.17
第58局, 当前小蛇平均长度为:4.06, 小蛇平均存活步数为:14.13, 探索率为:0.17
